Nom station,Coordonnées géographiques,Nombre total vélos disponibles,Station en fonctionnement
,,19,OUI
,,3,OUI
,,19,OUI
,,6,OUI
,,3,OUI
,,8,OUI
,,27,OUI
,,9,OUI
,,11,OUI
,,9,OUI
,,6,OUI
,,14,OUI
,,3,OUI
,,6,OUI
,,20,OUI
,,22,OUI
,,13,OUI
,,42,OUI
,,4,OUI
,,1,OUI
,,8,OUI
,,5,OUI
,,9,OUI
,,29,OUI
,,15,OUI
,,8,OUI
,,4,OUI
,,0,NON
,,2,OUI
,,15,OUI
,,10,OUI
,,1,OUI
,,5,OUI
,,17,OUI
,,4,OUI
,,4,OUI
,,4,OUI
,,5,OUI
,,27,OUI
,,13,OUI
,,9,OUI
,,7,OUI
,,4,OUI
,,4,OUI
,,8,OUI
,,1,OUI
,,1,OUI
,,14,OUI
,,8,OUI
,,14,OUI
,,4,OUI
,,0,OUI
,,9,OUI
,,2,OUI
,,24,OUI
,,11,OUI
,,11,OUI
,,43,OUI
,,1,OUI
,,10,OUI
,,1,OUI
,,6,OUI
,,16,OUI
,,3,OUI
,,7,OUI
,,8,OUI
,,8,OUI
,,5,OUI
,,5,OUI
,,2,OUI
,,19,OUI
,,10,OUI
,,10,OUI
,,2,OUI
,,30,OUI
,,26,OUI
,,9,OUI
,,11,OUI
,,7,OUI
,,1,OUI
,,7,OUI
,,1,OUI
,,0,OUI
,,3,OUI
,,14,OUI
,,16,OUI
,,21,OUI
,,1,OUI
,,1,OUI
,,7,OUI
,,2,OUI
,,4,OUI
,,30,OUI
,,1,OUI
,,4,OUI
,,40,OUI
,,7,OUI
,,9,OUI
,,8,OUI
,,4,OUI
,,20,OUI
,,27,OUI
,,3,OUI
,,45,OUI
,,17,OUI
,,8,OUI
,,22,OUI
,,4,OUI
,,55,OUI
,,27,OUI
,,4,OUI
,,29,OUI
,,6,OUI
,,38,OUI
,,23,OUI
,,7,OUI
,,4,OUI
,,23,OUI
,,5,OUI
,,0,OUI
,,10,OUI
,,31,OUI
,,3,OUI
,,19,OUI
,,14,OUI
,,0,OUI
,,8,OUI
,,12,OUI
,,18,OUI
,,17,OUI
,,2,OUI
,,3,OUI
,,6,OUI
,,0,OUI
,,15,OUI
,,8,OUI
,,16,OUI
,,18,OUI
,,2,OUI
,,54,OUI
,,5,OUI
,,26,OUI
,,9,OUI
,,24,OUI
,,7,OUI
,,5,OUI
,,8,OUI
,,15,OUI
,,8,OUI
,,13,OUI
,,4,OUI
,,6,OUI
,,20,OUI
,,18,OUI
,,1,OUI
,,3,OUI
,,4,OUI
,,7,OUI
,,18,OUI
,,17,OUI
,,30,OUI
,,1,OUI
,,10,OUI
,,7,OUI
,,19,OUI
,,3,OUI
,,21,OUI
,,15,OUI
,,1,OUI
,,11,OUI
,,6,OUI
,,26,OUI
,,18,OUI
,,10,OUI
,,4,OUI
,,24,OUI
,,6,OUI
,,3,OUI
,,15,OUI
,,47,OUI
,,17,OUI
,,6,OUI
,,39,OUI
,,3,OUI
,,28,OUI
,,4,OUI
,,1,OUI
,,17,OUI
,,9,OUI
,,14,OUI
,,18,OUI
,,4,OUI
,,11,OUI
,,13,OUI
,,2,OUI
,,28,OUI
,,3,OUI
,,21,OUI
,,31,OUI
,,7,OUI
,,18,OUI
,,11,OUI
,,14,OUI
,,23,OUI
,,34,OUI
,,0,NON
,,7,OUI
,,24,OUI
,,22,OUI
,,11,OUI
,,0,OUI
,,2,OUI
,,7,OUI
,,1,OUI
,,0,OUI
,,6,OUI
,,5,OUI
,,17,OUI
,,37,OUI
,,6,OUI
,,35,OUI
,,6,OUI
,,17,OUI
,,29,OUI
,,22,OUI
,,22,OUI
,,7,OUI
,,21,OUI
,,3,OUI
,,5,OUI
,,8,OUI
,,4,OUI
,,48,OUI
,,50,OUI
,,11,OUI
,,16,OUI
,,11,OUI
,,0,OUI
,,0,NON
,,23,OUI
,,12,OUI
,,4,OUI
,,0,NON
,,5,OUI
,,7,OUI
,,3,OUI
,,23,OUI
,,6,OUI
,,8,OUI
,,25,OUI
,,31,OUI
,,15,OUI
,,12,OUI
,,16,OUI
,,13,OUI
,,15,OUI
,,34,OUI
,,18,OUI
,,34,OUI
,,9,OUI
,,22,OUI
,,10,OUI
,,8,OUI
,,7,OUI
,,18,OUI
,,5,OUI
,,28,OUI
,,17,OUI
,,14,OUI
,,5,OUI
,,15,OUI
,,5,OUI
,,18,OUI
,,4,OUI
,,55,OUI
,,12,OUI
,,4,OUI
,,6,OUI
,,19,OUI
,,15,OUI
,,15,OUI
,,13,OUI
,,4,OUI
,,31,OUI
,,8,OUI
,,23,OUI
,,1,OUI
,,0,OUI
,,7,OUI
,,24,OUI
,,12,OUI
,,14,OUI
,,2,OUI
,,63,OUI
,,44,OUI
,,12,OUI
,,3,OUI
,,15,OUI
,,4,OUI
,,11,OUI
,,52,OUI
,,8,OUI
,,36,OUI
,,11,OUI
,,11,OUI
,,17,OUI
,,31,OUI
,,23,OUI
,,28,OUI
,,0,OUI
,,6,OUI
,,31,OUI
