Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;9;19;;;OUI;OUI;2025-01-09T20:39:15+01:00;;;
;;OUI;;32;3;;;OUI;OUI;2025-01-09T20:42:42+01:00;;;
;;OUI;;1;19;;;OUI;OUI;2025-01-09T20:48:25+01:00;;;
;;OUI;;19;6;;;OUI;OUI;2025-01-09T20:44:26+01:00;;;
;;OUI;;18;3;;;OUI;OUI;2025-01-09T20:48:22+01:00;;;
;;OUI;;13;8;;;OUI;OUI;2025-01-09T20:41:23+01:00;;;
;;OUI;;33;27;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;22;9;;;OUI;OUI;2025-01-09T20:45:16+01:00;;;
;;OUI;;11;11;;;OUI;OUI;2025-01-09T20:46:50+01:00;;;
;;OUI;;18;9;;;OUI;OUI;2025-01-09T20:44:07+01:00;;;
;;OUI;;14;6;;;OUI;OUI;2025-01-09T20:47:02+01:00;;;
;;OUI;;13;14;;;OUI;OUI;2025-01-09T20:48:10+01:00;;;
;;OUI;;9;3;;;OUI;OUI;2025-01-09T20:47:11+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2025-01-09T20:45:47+01:00;;;
;;OUI;;28;20;;;OUI;OUI;2025-01-09T20:47:38+01:00;;;
;;OUI;;14;22;;;OUI;OUI;2025-01-09T20:46:15+01:00;;;
;;OUI;;22;13;;;OUI;OUI;2025-01-09T20:46:09+01:00;;;
;;OUI;;1;42;;;OUI;OUI;2025-01-09T20:47:02+01:00;;;
;;OUI;;19;4;;;OUI;OUI;2025-01-09T20:46:08+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2025-01-09T20:46:27+01:00;;;
;;OUI;;9;8;;;OUI;OUI;2025-01-09T20:45:57+01:00;;;
;;OUI;;25;5;;;OUI;OUI;2025-01-09T20:48:09+01:00;;;
;;OUI;;16;9;;;OUI;OUI;2025-01-09T20:48:25+01:00;;;
;;OUI;;1;29;;;OUI;OUI;2025-01-09T20:47:55+01:00;;;
;;OUI;;25;15;;;OUI;OUI;2025-01-09T20:43:34+01:00;;;
;;OUI;;30;8;;;OUI;OUI;2025-01-09T20:47:35+01:00;;;
;;OUI;;56;4;;;OUI;OUI;2025-01-09T20:48:16+01:00;;;
;;NON;;1;0;;;NON;NON;2024-08-29T13:11:05+02:00;;;
;;OUI;;15;2;;;OUI;OUI;2025-01-09T20:48:11+01:00;;;
;;OUI;;27;15;;;OUI;OUI;2025-01-09T20:47:29+01:00;;;
;;OUI;;42;10;;;OUI;OUI;2025-01-09T20:46:09+01:00;;;
;;OUI;;34;1;;;OUI;OUI;2025-01-09T20:39:52+01:00;;;
;;OUI;;35;5;;;OUI;OUI;2025-01-09T20:47:58+01:00;;;
;;OUI;;27;17;;;OUI;OUI;2025-01-09T20:48:00+01:00;;;
;;OUI;;24;4;;;OUI;OUI;2025-01-09T20:44:29+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2025-01-09T20:43:02+01:00;;;
;;OUI;;41;4;;;OUI;OUI;2025-01-09T20:48:25+01:00;;;
;;OUI;;11;5;;;OUI;OUI;2025-01-09T20:43:09+01:00;;;
;;OUI;;7;27;;;OUI;OUI;2025-01-09T20:47:26+01:00;;;
;;OUI;;9;13;;;OUI;OUI;2025-01-09T20:47:30+01:00;;;
;;OUI;;12;9;;;OUI;OUI;2025-01-09T20:41:51+01:00;;;
;;OUI;;16;7;;;OUI;OUI;2025-01-09T20:44:24+01:00;;;
;;OUI;;31;4;;;OUI;OUI;2025-01-09T20:46:17+01:00;;;
;;OUI;;14;4;;;OUI;OUI;2025-01-09T20:46:58+01:00;;;
;;OUI;;35;8;;;OUI;OUI;2025-01-09T20:47:12+01:00;;;
;;OUI;;29;1;;;OUI;OUI;2025-01-09T20:42:55+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2025-01-09T20:42:17+01:00;;;
;;OUI;;16;14;;;OUI;OUI;2025-01-09T20:47:26+01:00;;;
;;OUI;;22;8;;;OUI;OUI;2025-01-09T20:45:19+01:00;;;
;;OUI;;26;14;;;OUI;OUI;2025-01-09T20:47:02+01:00;;;
;;OUI;;21;4;;;OUI;OUI;2025-01-09T20:45:20+01:00;;;
;;OUI;;23;0;;;OUI;OUI;2025-01-09T20:43:06+01:00;;;
;;OUI;;19;9;;;OUI;OUI;2025-01-09T20:47:18+01:00;;;
;;OUI;;19;2;;;OUI;OUI;2025-01-09T20:47:32+01:00;;;
;;OUI;;2;24;;;OUI;OUI;2025-01-09T20:47:37+01:00;;;
;;OUI;;17;11;;;OUI;OUI;2025-01-09T20:46:30+01:00;;;
;;OUI;;6;11;;;OUI;OUI;2025-01-09T20:44:02+01:00;;;
;;OUI;;20;43;;;OUI;OUI;2025-01-09T20:48:08+01:00;;;
;;OUI;;23;1;;;OUI;OUI;2025-01-09T20:46:11+01:00;;;
;;OUI;;11;10;;;OUI;OUI;2025-01-09T20:46:00+01:00;;;
;;OUI;;20;1;;;OUI;OUI;2025-01-09T20:44:23+01:00;;;
;;OUI;;19;6;;;OUI;OUI;2025-01-09T20:45:10+01:00;;;
;;OUI;;34;16;;;OUI;OUI;2025-01-09T20:48:14+01:00;;;
;;OUI;;11;3;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;22;7;;;OUI;OUI;2025-01-09T20:48:18+01:00;;;
;;OUI;;14;8;;;OUI;OUI;2025-01-09T20:39:56+01:00;;;
;;OUI;;19;8;;;OUI;OUI;2025-01-09T20:47:30+01:00;;;
;;OUI;;12;5;;;OUI;OUI;2025-01-09T20:47:13+01:00;;;
;;OUI;;19;5;;;OUI;OUI;2025-01-09T20:41:27+01:00;;;
;;OUI;;19;2;;;OUI;OUI;2025-01-09T20:39:33+01:00;;;
;;OUI;;13;19;;;OUI;OUI;2025-01-09T20:47:36+01:00;;;
;;OUI;;7;10;;;OUI;OUI;2025-01-09T20:43:07+01:00;;;
;;OUI;;22;10;;;OUI;OUI;2025-01-09T20:47:05+01:00;;;
;;OUI;;27;2;;;OUI;OUI;2025-01-09T20:40:20+01:00;;;
;;OUI;;6;30;;;OUI;OUI;2025-01-09T20:46:26+01:00;;;
;;OUI;;1;26;;;OUI;OUI;2025-01-09T20:47:57+01:00;;;
;;OUI;;11;9;;;OUI;OUI;2025-01-09T20:45:57+01:00;;;
;;OUI;;16;11;;;OUI;OUI;2025-01-09T20:48:01+01:00;;;
;;OUI;;41;7;;;OUI;OUI;2025-01-09T20:40:28+01:00;;;
;;OUI;;27;1;;;OUI;OUI;2025-01-09T20:48:24+01:00;;;
;;OUI;;20;7;;;OUI;OUI;2025-01-09T20:44:49+01:00;;;
;;OUI;;16;1;;;OUI;OUI;2025-01-09T20:38:58+01:00;;;
;;OUI;;40;0;;;NON;NON;2025-01-09T20:38:36+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2025-01-09T20:44:50+01:00;;;
;;OUI;;22;14;;;OUI;OUI;2025-01-09T20:46:41+01:00;;;
